leto,regija,spol,starost,placa,število študentov na 1000 prebivalcev
2008,Pomurska,m,15-24 let,855,45
2009,Pomurska,m,15-24 let,881,46
2010,Pomurska,m,15-24 let,907,48
2011,Pomurska,m,15-24 let,965,45
2012,Pomurska,m,15-24 let,969,45
2013,Pomurska,m,15-24 let,984,44
2014,Pomurska,m,15-24 let,1003,40
2018,Pomurska,m,15-24 let,1172,31
2019,Pomurska,m,15-24 let,1220,30
2008,Pomurska,ž,15-24 let,783,45
2009,Pomurska,ž,15-24 let,845,46
2010,Pomurska,ž,15-24 let,880,48
2011,Pomurska,ž,15-24 let,926,45
2012,Pomurska,ž,15-24 let,916,45
2013,Pomurska,ž,15-24 let,898,44
2014,Pomurska,ž,15-24 let,904,40
2018,Pomurska,ž,15-24 let,1012,31
2019,Pomurska,ž,15-24 let,1079,30
2008,Pomurska,m,25-34 let,1110,45
2009,Pomurska,m,25-34 let,1126,46
2010,Pomurska,m,25-34 let,1165,48
2011,Pomurska,m,25-34 let,1208,45
2012,Pomurska,m,25-34 let,1227,45
2013,Pomurska,m,25-34 let,1217,44
2014,Pomurska,m,25-34 let,1247,40
2015,Pomurska,m,25-34 let,1260,36
2016,Pomurska,m,25-34 let,1290,33
2017,Pomurska,m,25-34 let,1332,33
2018,Pomurska,m,25-34 let,1398,31
2019,Pomurska,m,25-34 let,1489,30
2008,Pomurska,ž,25-34 let,1053,45
2009,Pomurska,ž,25-34 let,1130,46
2010,Pomurska,ž,25-34 let,1152,48
2011,Pomurska,ž,25-34 let,1185,45
2012,Pomurska,ž,25-34 let,1204,45
2013,Pomurska,ž,25-34 let,1179,44
2014,Pomurska,ž,25-34 let,1184,40
2015,Pomurska,ž,25-34 let,1191,36
2016,Pomurska,ž,25-34 let,1200,33
2017,Pomurska,ž,25-34 let,1226,33
2018,Pomurska,ž,25-34 let,1259,31
2019,Pomurska,ž,25-34 let,1338,30
2008,Pomurska,m,35-44 let,1255,45
2009,Pomurska,m,35-44 let,1322,46
2010,Pomurska,m,35-44 let,1345,48
2011,Pomurska,m,35-44 let,1393,45
2012,Pomurska,m,35-44 let,1424,45
2013,Pomurska,m,35-44 let,1432,44
2014,Pomurska,m,35-44 let,1492,40
2015,Pomurska,m,35-44 let,1500,36
2016,Pomurska,m,35-44 let,1554,33
2017,Pomurska,m,35-44 let,1597,33
2018,Pomurska,m,35-44 let,1666,31
2019,Pomurska,m,35-44 let,1742,30
2008,Pomurska,ž,35-44 let,1095,45
2009,Pomurska,ž,35-44 let,1336,46
2010,Pomurska,ž,35-44 let,1303,48
2011,Pomurska,ž,35-44 let,1359,45
2012,Pomurska,ž,35-44 let,1354,45
2013,Pomurska,ž,35-44 let,1334,44
2014,Pomurska,ž,35-44 let,1397,40
2015,Pomurska,ž,35-44 let,1401,36
2016,Pomurska,ž,35-44 let,1404,33
2017,Pomurska,ž,35-44 let,1441,33
2018,Pomurska,ž,35-44 let,1485,31
2019,Pomurska,ž,35-44 let,1557,30
2008,Pomurska,m,45-54 let,1305,45
2009,Pomurska,m,45-54 let,1385,46
2010,Pomurska,m,45-54 let,1421,48
2011,Pomurska,m,45-54 let,1466,45
2012,Pomurska,m,45-54 let,1486,45
2013,Pomurska,m,45-54 let,1457,44
2014,Pomurska,m,45-54 let,1530,40
2015,Pomurska,m,45-54 let,1530,36
2016,Pomurska,m,45-54 let,1572,33
2017,Pomurska,m,45-54 let,1591,33
2018,Pomurska,m,45-54 let,1647,31
2019,Pomurska,m,45-54 let,1762,30
2008,Pomurska,ž,45-54 let,1196,45
2009,Pomurska,ž,45-54 let,1458,46
2010,Pomurska,ž,45-54 let,1429,48
2011,Pomurska,ž,45-54 let,1470,45
2012,Pomurska,ž,45-54 let,1429,45
2013,Pomurska,ž,45-54 let,1407,44
2014,Pomurska,ž,45-54 let,1502,40
2015,Pomurska,ž,45-54 let,1480,36
2016,Pomurska,ž,45-54 let,1457,33
2017,Pomurska,ž,45-54 let,1477,33
2018,Pomurska,ž,45-54 let,1507,31
2019,Pomurska,ž,45-54 let,1630,30
2008,Pomurska,m,55-64 let,1395,45
2009,Pomurska,m,55-64 let,1527,46
2010,Pomurska,m,55-64 let,1593,48
2011,Pomurska,m,55-64 let,1643,45
2012,Pomurska,m,55-64 let,1654,45
2013,Pomurska,m,55-64 let,1632,44
2014,Pomurska,m,55-64 let,1674,40
2015,Pomurska,m,55-64 let,1660,36
2016,Pomurska,m,55-64 let,1687,33
2017,Pomurska,m,55-64 let,1715,33
2019,Pomurska,m,55-64 let,1794,30
2008,Pomurska,ž,55-64 let,1610,45
2009,Pomurska,ž,55-64 let,1866,46
2010,Pomurska,ž,55-64 let,1960,48
2011,Pomurska,ž,55-64 let,1916,45
2012,Pomurska,ž,55-64 let,1821,45
2013,Pomurska,ž,55-64 let,1707,44
2014,Pomurska,ž,55-64 let,1762,40
2015,Pomurska,ž,55-64 let,1720,36
2016,Pomurska,ž,55-64 let,1738,33
2017,Pomurska,ž,55-64 let,1735,33
2019,Pomurska,ž,55-64 let,1864,30
2008,Pomurska,m,65 let ali več,3840,45
2009,Pomurska,m,65 let ali več,3775,46
2010,Pomurska,m,65 let ali več,3264,48
2011,Pomurska,m,65 let ali več,4295,45
2014,Pomurska,m,65 let ali več,4106,40
2019,Pomurska,m,65 let ali več,3582,30
2019,Pomurska,ž,65 let ali več,3681,30
2008,Podravska,m,15-24 let,889,49
2009,Podravska,m,15-24 let,886,49
2010,Podravska,m,15-24 let,944,50
2011,Podravska,m,15-24 let,979,46
2012,Podravska,m,15-24 let,999,44
2013,Podravska,m,15-24 let,1020,43
2014,Podravska,m,15-24 let,1050,40
2015,Podravska,m,15-24 let,1084,37
2016,Podravska,m,15-24 let,1105,35
2017,Podravska,m,15-24 let,1140,34
2018,Podravska,m,15-24 let,1215,32
2019,Podravska,m,15-24 let,1276,31
2008,Podravska,ž,15-24 let,789,49
2009,Podravska,ž,15-24 let,843,49
2010,Podravska,ž,15-24 let,906,50
2011,Podravska,ž,15-24 let,937,46
2012,Podravska,ž,15-24 let,949,44
2013,Podravska,ž,15-24 let,945,43
2014,Podravska,ž,15-24 let,961,40
2015,Podravska,ž,15-24 let,970,37
2016,Podravska,ž,15-24 let,954,35
2017,Podravska,ž,15-24 let,1019,34
2018,Podravska,ž,15-24 let,1054,32
2019,Podravska,ž,15-24 let,1110,31
2008,Podravska,m,25-34 let,1203,49
2009,Podravska,m,25-34 let,1205,49
2010,Podravska,m,25-34 let,1254,50
2011,Podravska,m,25-34 let,1285,46
2012,Podravska,m,25-34 let,1293,44
2013,Podravska,m,25-34 let,1286,43
2014,Podravska,m,25-34 let,1314,40
2015,Podravska,m,25-34 let,1319,37
2016,Podravska,m,25-34 let,1335,35
2017,Podravska,m,25-34 let,1390,34
2018,Podravska,m,25-34 let,1480,32
2019,Podravska,m,25-34 let,1556,31
2008,Podravska,ž,25-34 let,1096,49
2009,Podravska,ž,25-34 let,1150,49
2010,Podravska,ž,25-34 let,1205,50
2011,Podravska,ž,25-34 let,1229,46
2012,Podravska,ž,25-34 let,1245,44
2013,Podravska,ž,25-34 let,1225,43
2014,Podravska,ž,25-34 let,1230,40
2015,Podravska,ž,25-34 let,1227,37
2016,Podravska,ž,25-34 let,1241,35
2017,Podravska,ž,25-34 let,1267,34
2018,Podravska,ž,25-34 let,1322,32
2019,Podravska,ž,25-34 let,1383,31
2008,Podravska,m,35-44 let,1396,49
2009,Podravska,m,35-44 let,1413,49
2010,Podravska,m,35-44 let,1476,50
2011,Podravska,m,35-44 let,1533,46
2012,Podravska,m,35-44 let,1564,44
2013,Podravska,m,35-44 let,1563,43
2014,Podravska,m,35-44 let,1589,40
2015,Podravska,m,35-44 let,1589,37
2016,Podravska,m,35-44 let,1610,35
2017,Podravska,m,35-44 let,1671,34
2018,Podravska,m,35-44 let,1744,32
2019,Podravska,m,35-44 let,1814,31
2008,Podravska,ž,35-44 let,1259,49
2009,Podravska,ž,35-44 let,1331,49
2010,Podravska,ž,35-44 let,1384,50
2011,Podravska,ž,35-44 let,1418,46
2012,Podravska,ž,35-44 let,1433,44
2013,Podravska,ž,35-44 let,1438,43
2014,Podravska,ž,35-44 let,1457,40
2015,Podravska,ž,35-44 let,1459,37
2016,Podravska,ž,35-44 let,1484,35
2017,Podravska,ž,35-44 let,1532,34
2018,Podravska,ž,35-44 let,1566,32
2019,Podravska,ž,35-44 let,1643,31
2008,Podravska,m,45-54 let,1424,49
2009,Podravska,m,45-54 let,1446,49
2010,Podravska,m,45-54 let,1498,50
2011,Podravska,m,45-54 let,1571,46
2012,Podravska,m,45-54 let,1592,44
2013,Podravska,m,45-54 let,1595,43
2014,Podravska,m,45-54 let,1635,40
2015,Podravska,m,45-54 let,1644,37
2016,Podravska,m,45-54 let,1687,35
2017,Podravska,m,45-54 let,1737,34
2018,Podravska,m,45-54 let,1805,32
2019,Podravska,m,45-54 let,1887,31
2008,Podravska,ž,45-54 let,1345,49
2009,Podravska,ž,45-54 let,1432,49
2010,Podravska,ž,45-54 let,1489,50
2011,Podravska,ž,45-54 let,1491,46
2012,Podravska,ž,45-54 let,1508,44
2013,Podravska,ž,45-54 let,1495,43
2014,Podravska,ž,45-54 let,1521,40
2015,Podravska,ž,45-54 let,1523,37
2016,Podravska,ž,45-54 let,1528,35
2017,Podravska,ž,45-54 let,1583,34
2018,Podravska,ž,45-54 let,1634,32
2019,Podravska,ž,45-54 let,1731,31
2008,Podravska,m,55-64 let,1662,49
2009,Podravska,m,55-64 let,1681,49
2010,Podravska,m,55-64 let,1758,50
2011,Podravska,m,55-64 let,1820,46
2012,Podravska,m,55-64 let,1792,44
2013,Podravska,m,55-64 let,1777,43
2014,Podravska,m,55-64 let,1763,40
2015,Podravska,m,55-64 let,1772,37
2016,Podravska,m,55-64 let,1758,35
2017,Podravska,m,55-64 let,1813,34
2018,Podravska,m,55-64 let,1840,32
2019,Podravska,m,55-64 let,1905,31
2008,Podravska,ž,55-64 let,1704,49
2009,Podravska,ž,55-64 let,1811,49
2010,Podravska,ž,55-64 let,1864,50
2011,Podravska,ž,55-64 let,1853,46
2012,Podravska,ž,55-64 let,1843,44
2013,Podravska,ž,55-64 let,1735,43
2014,Podravska,ž,55-64 let,1727,40
2015,Podravska,ž,55-64 let,1755,37
2016,Podravska,ž,55-64 let,1722,35
2017,Podravska,ž,55-64 let,1753,34
2018,Podravska,ž,55-64 let,1776,32
2019,Podravska,ž,55-64 let,1852,31
2008,Podravska,m,65 let ali več,4144,49
2009,Podravska,m,65 let ali več,4509,49
2010,Podravska,m,65 let ali več,4434,50
2011,Podravska,m,65 let ali več,4156,46
2012,Podravska,m,65 let ali več,4037,44
2013,Podravska,m,65 let ali več,3708,43
2014,Podravska,m,65 let ali več,3909,40
2015,Podravska,m,65 let ali več,3889,37
2016,Podravska,m,65 let ali več,3827,35
2017,Podravska,m,65 let ali več,3593,34
2018,Podravska,m,65 let ali več,3258,32
2019,Podravska,m,65 let ali več,3145,31
2008,Podravska,ž,65 let ali več,3063,49
2009,Podravska,ž,65 let ali več,3648,49
2010,Podravska,ž,65 let ali več,3551,50
2011,Podravska,ž,65 let ali več,3874,46
2012,Podravska,ž,65 let ali več,3928,44
2013,Podravska,ž,65 let ali več,3673,43
2014,Podravska,ž,65 let ali več,3479,40
2015,Podravska,ž,65 let ali več,3364,37
2016,Podravska,ž,65 let ali več,3314,35
2017,Podravska,ž,65 let ali več,3120,34
2018,Podravska,ž,65 let ali več,3097,32
2019,Podravska,ž,65 let ali več,3078,31
2008,Koroška,m,15-24 let,936,58
2009,Koroška,m,15-24 let,898,59
2010,Koroška,m,15-24 let,976,57
2011,Koroška,m,15-24 let,1053,56
2012,Koroška,m,15-24 let,1058,53
2013,Koroška,m,15-24 let,1073,49
2014,Koroška,m,15-24 let,1110,47
2015,Koroška,m,15-24 let,1153,43
2017,Koroška,m,15-24 let,1248,38
2018,Koroška,m,15-24 let,1275,37
2019,Koroška,m,15-24 let,1307,36
2008,Koroška,ž,15-24 let,787,58
2009,Koroška,ž,15-24 let,849,59
2010,Koroška,ž,15-24 let,903,57
2011,Koroška,ž,15-24 let,954,56
2012,Koroška,ž,15-24 let,974,53
2013,Koroška,ž,15-24 let,891,49
2014,Koroška,ž,15-24 let,885,47
2017,Koroška,ž,15-24 let,1008,38
2018,Koroška,ž,15-24 let,1046,37
2019,Koroška,ž,15-24 let,1108,36
2008,Koroška,m,25-34 let,1140,58
2009,Koroška,m,25-34 let,1124,59
2010,Koroška,m,25-34 let,1175,57
2011,Koroška,m,25-34 let,1247,56
2012,Koroška,m,25-34 let,1264,53
2013,Koroška,m,25-34 let,1278,49
2014,Koroška,m,25-34 let,1318,47
2015,Koroška,m,25-34 let,1360,43
2016,Koroška,m,25-34 let,1403,39
2017,Koroška,m,25-34 let,1469,38
2018,Koroška,m,25-34 let,1539,37
2019,Koroška,m,25-34 let,1566,36
2008,Koroška,ž,25-34 let,1012,58
2009,Koroška,ž,25-34 let,1045,59
2010,Koroška,ž,25-34 let,1143,57
2011,Koroška,ž,25-34 let,1182,56
2012,Koroška,ž,25-34 let,1204,53
2013,Koroška,ž,25-34 let,1185,49
2014,Koroška,ž,25-34 let,1220,47
2015,Koroška,ž,25-34 let,1232,43
2016,Koroška,ž,25-34 let,1268,39
2017,Koroška,ž,25-34 let,1272,38
2018,Koroška,ž,25-34 let,1320,37
2019,Koroška,ž,25-34 let,1372,36
2008,Koroška,m,35-44 let,1326,58
2009,Koroška,m,35-44 let,1329,59
2010,Koroška,m,35-44 let,1396,57
2011,Koroška,m,35-44 let,1479,56
2012,Koroška,m,35-44 let,1494,53
2013,Koroška,m,35-44 let,1501,49
2014,Koroška,m,35-44 let,1541,47
2015,Koroška,m,35-44 let,1592,43
2016,Koroška,m,35-44 let,1600,39
2017,Koroška,m,35-44 let,1674,38
2018,Koroška,m,35-44 let,1744,37
2019,Koroška,m,35-44 let,1792,36
2008,Koroška,ž,35-44 let,1197,58
2009,Koroška,ž,35-44 let,1258,59
2010,Koroška,ž,35-44 let,1378,57
2011,Koroška,ž,35-44 let,1423,56
2012,Koroška,ž,35-44 let,1415,53
2013,Koroška,ž,35-44 let,1417,49
2014,Koroška,ž,35-44 let,1434,47
2015,Koroška,ž,35-44 let,1453,43
2016,Koroška,ž,35-44 let,1490,39
2017,Koroška,ž,35-44 let,1512,38
2018,Koroška,ž,35-44 let,1544,37
2019,Koroška,ž,35-44 let,1604,36
2008,Koroška,m,45-54 let,1416,58
2009,Koroška,m,45-54 let,1410,59
2010,Koroška,m,45-54 let,1488,57
2011,Koroška,m,45-54 let,1533,56
2012,Koroška,m,45-54 let,1556,53
2013,Koroška,m,45-54 let,1549,49
2014,Koroška,m,45-54 let,1579,47
2015,Koroška,m,45-54 let,1631,43
2016,Koroška,m,45-54 let,1683,39
2017,Koroška,m,45-54 let,1718,38
2018,Koroška,m,45-54 let,1794,37
2019,Koroška,m,45-54 let,1865,36
2008,Koroška,ž,45-54 let,1348,58
2009,Koroška,ž,45-54 let,1424,59
2010,Koroška,ž,45-54 let,1506,57
2011,Koroška,ž,45-54 let,1526,56
2012,Koroška,ž,45-54 let,1540,53
2013,Koroška,ž,45-54 let,1513,49
2014,Koroška,ž,45-54 let,1541,47
2015,Koroška,ž,45-54 let,1535,43
2016,Koroška,ž,45-54 let,1560,39
2017,Koroška,ž,45-54 let,1606,38
2018,Koroška,ž,45-54 let,1641,37
2019,Koroška,ž,45-54 let,1696,36
2008,Koroška,m,55-64 let,1664,58
2009,Koroška,m,55-64 let,1674,59
2010,Koroška,m,55-64 let,1697,57
2011,Koroška,m,55-64 let,1751,56
2012,Koroška,m,55-64 let,1757,53
2013,Koroška,m,55-64 let,1774,49
2014,Koroška,m,55-64 let,1775,47
2015,Koroška,m,55-64 let,1795,43
2016,Koroška,m,55-64 let,1845,39
2017,Koroška,m,55-64 let,1881,38
2018,Koroška,m,55-64 let,1922,37
2019,Koroška,m,55-64 let,1959,36
2008,Koroška,ž,55-64 let,1665,58
2009,Koroška,ž,55-64 let,1808,59
2010,Koroška,ž,55-64 let,1913,57
2011,Koroška,ž,55-64 let,1935,56
2012,Koroška,ž,55-64 let,1967,53
2013,Koroška,ž,55-64 let,1876,49
2014,Koroška,ž,55-64 let,1821,47
2015,Koroška,ž,55-64 let,1828,43
2016,Koroška,ž,55-64 let,1818,39
2017,Koroška,ž,55-64 let,1825,38
2018,Koroška,ž,55-64 let,1836,37
2019,Koroška,ž,55-64 let,1908,36
2009,Koroška,m,65 let ali več,4294,59
2012,Koroška,m,65 let ali več,4342,53
2013,Koroška,m,65 let ali več,4432,49
2014,Koroška,m,65 let ali več,4851,47
2015,Koroška,m,65 let ali več,5772,43
2017,Koroška,m,65 let ali več,3818,38
2018,Koroška,m,65 let ali več,3877,37
2019,Koroška,m,65 let ali več,3410,36
2017,Koroška,ž,65 let ali več,3429,38
2018,Koroška,ž,65 let ali več,3540,37
2019,Koroška,ž,65 let ali več,3612,36
2008,Savinjska,m,15-24 let,877,57
2009,Savinjska,m,15-24 let,869,58
2010,Savinjska,m,15-24 let,961,58
2011,Savinjska,m,15-24 let,1032,54
2012,Savinjska,m,15-24 let,1076,51
2013,Savinjska,m,15-24 let,1099,49
2014,Savinjska,m,15-24 let,1133,46
2015,Savinjska,m,15-24 let,1130,42
2016,Savinjska,m,15-24 let,1124,39
2018,Savinjska,m,15-24 let,1255,36
2019,Savinjska,m,15-24 let,1285,35
2008,Savinjska,ž,15-24 let,807,57
2009,Savinjska,ž,15-24 let,853,58
2010,Savinjska,ž,15-24 let,917,58
2011,Savinjska,ž,15-24 let,978,54
2012,Savinjska,ž,15-24 let,977,51
2013,Savinjska,ž,15-24 let,962,49
2014,Savinjska,ž,15-24 let,966,46
2015,Savinjska,ž,15-24 let,937,42
2016,Savinjska,ž,15-24 let,968,39
2018,Savinjska,ž,15-24 let,1044,36
2019,Savinjska,ž,15-24 let,1093,35
2008,Savinjska,m,25-34 let,1154,57
2009,Savinjska,m,25-34 let,1155,58
2010,Savinjska,m,25-34 let,1243,58
2011,Savinjska,m,25-34 let,1283,54
2012,Savinjska,m,25-34 let,1300,51
2013,Savinjska,m,25-34 let,1298,49
2014,Savinjska,m,25-34 let,1327,46
2015,Savinjska,m,25-34 let,1330,42
2016,Savinjska,m,25-34 let,1348,39
2017,Savinjska,m,25-34 let,1394,38
2018,Savinjska,m,25-34 let,1463,36
2019,Savinjska,m,25-34 let,1511,35
2008,Savinjska,ž,25-34 let,1068,57
2009,Savinjska,ž,25-34 let,1114,58
2010,Savinjska,ž,25-34 let,1160,58
2011,Savinjska,ž,25-34 let,1196,54
2012,Savinjska,ž,25-34 let,1211,51
2013,Savinjska,ž,25-34 let,1205,49
2014,Savinjska,ž,25-34 let,1215,46
2015,Savinjska,ž,25-34 let,1214,42
2016,Savinjska,ž,25-34 let,1227,39
2017,Savinjska,ž,25-34 let,1250,38
2018,Savinjska,ž,25-34 let,1289,36
2019,Savinjska,ž,25-34 let,1333,35
2008,Savinjska,m,35-44 let,1351,57
2009,Savinjska,m,35-44 let,1360,58
